,State,Population,MedianAge,TotalHouseholdSize,PerCapitaIncome,StateCode,AverageHouseholdSize
0,Mississippi,2976149,38.3,1100229,25301,28,2.7050268625895155
1,Missouri,6137428,38.9,2458337,31756,29,2.4965771576476294
2,Montana,1068778,40.5,437651,32625,30,2.4420782769832585
3,Nebraska,1934408,36.8,771444,33272,31,2.507515775610414
4,Nevada,3080156,38.4,1143557,33575,32,2.6934870758519254
5,New Hampshire,1359711,43.0,541396,41241,33,2.511490664873771
6,New Jersey,8882190,40.2,3286264,44888,34,2.7028230233480937
7,New Mexico,2096829,38.6,793420,28423,35,2.642773058405384
8,New York,19453561,39.2,7446812,41857,36,2.6123341102205884
9,North Carolina,10488084,39.1,4046348,32021,37,2.5919876392243077
10,North Dakota,762062,35.5,323519,36611,38,2.355540169201809
11,Ohio,11689100,39.6,4730340,32780,39,2.471090872960506
12,Oklahoma,3956971,37.0,1495151,29666,40,2.6465360354907297
13,Oregon,4217737,39.7,1649352,35531,41,2.557208527955221
14,Pennsylvania,12801989,40.8,5119249,35804,42,2.5007552865664477
15,Rhode Island,1059361,40.1,407174,37525,44,2.60174028793587
16,South Carolina,5148714,39.9,1975915,31295,45,2.605736582798349
17,South Dakota,884659,37.7,353799,31550,46,2.5004564738735837
18,Tennessee,6829174,39.0,2654737,31224,47,2.5724484195609585
19,Texas,28995881,35.1,9985126,32267,48,2.9039073718248525
20,Vermont,623989,42.8,262767,35702,50,2.3746855579277457
21,Utah,3205958,31.2,1023855,31771,49,3.1312617509315284
22,Virginia,8535519,38.5,3191847,40635,51,2.674162953299453
23,Washington,7614893,37.9,2932477,41521,53,2.59674432229136
24,West Virginia,1792147,42.9,728175,27446,54,2.4611487623167507
25,Wisconsin,5822434,39.9,2386623,34568,55,2.4396119537941265
26,Wyoming,578759,38.1,233128,34104,56,2.482580385024536
27,Puerto Rico,3193694,43.1,1170982,13345,72,2.727363870665817
28,Illinois,12671821,38.6,4866006,37728,17,2.604152358217396
29,Georgia,10617423,37.2,3852714,32657,13,2.7558295269256945
30,Idaho,1787065,36.9,655859,29606,16,2.724770110648783
31,Hawaii,1415872,39.6,465299,36989,15,3.0429293851910275
32,Indiana,6732219,38.0,2597765,30988,18,2.591542730000597
33,Iowa,3155070,38.5,1287221,33107,19,2.45107095052054
34,Kansas,2913314,37.2,1138329,32885,20,2.559289976799326
35,Kentucky,4467673,39.2,1748732,29029,21,2.554807140259342
36,Louisiana,4648794,37.7,1741076,28662,22,2.67006954320202
37,Maine,1344212,45.1,573618,34078,23,2.3433922924315485
38,Maryland,6045680,39.0,2226767,43325,24,2.7150034107744547
39,Massachusetts,6892503,39.7,2650680,46241,25,2.600277287337589
40,Michigan,9986857,39.8,3969880,32892,26,2.5156571483269015
41,Minnesota,5639632,38.4,2222568,39025,27,2.537439574402223
42,Connecticut,3565287,41.2,1377166,45359,09,2.5888578428453797
43,Florida,21477737,42.4,7905832,32887,12,2.7166953459167864
44,Alabama,4903185,39.4,1897576,28650,01,2.5839202224311437
45,Alaska,731545,35.0,252199,36978,02,2.9006657441147663
46,Arizona,7278717,38.3,2670441,32173,04,2.7256610425019687
47,Arkansas,3017804,38.8,1163647,27274,05,2.5934016071884343
48,California,39512223,37.0,13157873,39393,06,3.0029339088468174
49,Colorado,5758736,37.1,2235103,41053,08,2.576496922065784
50,Delaware,973764,41.4,376239,36858,10,2.5881527433360176
51,District of Columbia,705749,34.3,291570,59808,11,2.420513084336523
